Key,Description,en,korean
AV-42C_mfd_target:T5,Label for an MFD button (short!).,SOI,활성화
AV-42C_mfd_target:T5_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,센서 활성화 토글
AV-42C_mfd_target:B4_tooltip,Tooltip for an MFD button.,Toggle HMD View,HMD 시야 토글
AV-42C_mfd_target:L4,Label for an MFD button (short!).,LIM,경계
AV-42C_mfd_target:L4_tooltip,Tooltip for an MFD button.,Toggle Limits Overlay,경계 표시 토글
AV-42C_mfd_target:R1,Label for an MFD button (short!).,MARK,레이저
AV-42C_mfd_target:R1_tooltip,Tooltip for an MFD button.,Laser Marker,레이저 마커
s_hmd,TGP page label,HMD,HMD
s_tgp_noLock,TGP page error,NO LOCK,목표 고정 없음
s_tgp_noGpsGroup,TGP page error,NO GPS GROUP,GPS 그룹 없음
s_tgp_noTarget,TGP page error,NO TARGET,목표 없음
s_tgp_notSOI,TGP page error,NOT SOI,센서 활성화 안됨
s_tgpMode_0,TGP mode label,TGT,TGT
s_tgpMode_1,TGP mode label,PIP,PIP
s_tgpMode_2,TGP mode label,HEAD,시야
s_tgpMode_3,TGP mode label,FWD,전방
tgp_sensorMode_0,TGP sensor mode label,DAY,낮
tgp_sensorMode_1,TGP sensor mode label,NIGHT,밤
tgp_sensorMode_2,TGP sensor mode label,COLOR,컬러
AV-42C_mfd_gameMenu:B2,Label for an MFD button (short!).,RESTART,재시작
AV-42C_mfd_gameMenu:B2_tooltip,Tooltip for an MFD button.,Restart Mission,임무 재시작
AV-42C_mfd_gameMenu:B4,Label for an MFD button (short!).,EXIT,나가기
AV-42C_mfd_gameMenu:B4_tooltip,Tooltip for an MFD button.,Return to Briefing Room,브리핑 룸으로 돌아가기
AV-42C_mfd_gameMenu:R2,Label for an MFD button (short!).,CENTER,재정렬
AV-42C_mfd_gameMenu:R2_tooltip,Tooltip for an MFD button.,Recenter Seat Position,좌석 위치 재정렬
AV-42C_mfd_gameMenu:L3,Label for an MFD button (short!).,QSAVE,빠른 저장
AV-42C_mfd_gameMenu:L3_tooltip,Tooltip for an MFD button.,Quick Save Menu,빠른 저장 메뉴
AV-42C_mfd_gameMenu:R4,Label for an MFD button (short!).,PLAYERS,유저
AV-42C_mfd_gameMenu:R4_tooltip,Tooltip for an MFD button.,View Players,유저 보기
AV-42C_mfd_gameMenu:R5,Label for an MFD button (short!).,NETWORK,네트워크
AV-42C_mfd_gameMenu:R5_tooltip,Tooltip for an MFD button.,NetworkAnalytics,네트워크 분석
vpdt_MFDRecenterText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Sit comfortably
and press
[menu]
to recenter","편안한 자세로 앉아서
[menu]
를 눌러서
좌석을 재정렬 합니다."
AV-42C_mfd_quicksave:L3_tooltip,Tooltip for an MFD button.,Save,저장
AV-42C_mfd_quicksave:B4_tooltip,Tooltip for an MFD button.,Load,불러오기
AV-42C_mfd_quicksave:T5,Label for an MFD button (short!).,BACK,뒤로가기
AV-42C_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AV-42C_mfd_mpPlayers:B1,Label for an MFD button (short!).,BACK,뒤로가기
AV-42C_mfd_mpPlayers:B1_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AV-42C_mfd_mpPlayers:T5,Label for an MFD button (short!).,MANAGE,관리
AV-42C_mfd_mpPlayers:T5_tooltip,Tooltip for an MFD button.,Manage Players,유저 관리
AV-42C_mfd_mpPlayers:R4_tooltip,Tooltip for an MFD button.,Scroll Up,위로 스크롤
AV-42C_mfd_mpPlayers:R5_tooltip,Tooltip for an MFD button.,Scroll Down,아래로 스크롤
mpPlayers_teamA,Team A title in players MFD page,Team a,팀 A
mpPlayers_KAD,Kills Assists Deaths column headers in MP players MFD page,K         a        d,사살         도움        죽음
mpPlayers_teamB,Team B title in players MFD page,Team b,팀 B
AV-42C_mfd_netAnalytics:B1,Label for an MFD button (short!).,BACK,뒤로가기
AV-42C_mfd_netAnalytics:B1_tooltip,Tooltip for an MFD button.,Back,뒤로가기
rwrMode_0,RWR mode,On,켜기
rwrMode_1,RWR mode,Silent,침묵
rwrMode_2,RWR mode,Off,끄기
arad_DECL,ARAD declutter button label,DECL,간소화
sCam_autoReset,S-Cam auto reset view label.,Auto-Reset,자동 리셋
sCam_autoZoomPrefix,"S-Cam auto zoom prefix (Auto 40, etc)",Auto,자동
sCam_audio,S-Cam audio on/off label,AUDIO,오디오
sCam_tgtMode_0,S-Cam target mode,SELF,자신
sCam_tgtMode_1,S-Cam target mode,MSSL,MSSL
sCam_tgtMode_2,S-Cam target mode,TGT,TGT
sCam_random,S-Cam random view mode,Random,랜덤
sCam_behavior_0,S-Cam behavior,Stationary,Stationary
sCam_behavior_1,S-Cam behavior,FlyAlong,비행
sCam_behavior_2,S-Cam behavior,Fixed,고정
sCam_behavior_3,S-Cam behavior,Chase,추적
sCam_behavior_4,S-Cam behavior,PresetViews,PresetViews
sCam_behavior_5,S-Cam behavior,SmoothLook,부드러운 시야
sCam_behavior_6,S-Cam behavior,Camcorder,캠코더
Mk.82 Bomb x1_fullName,Full equip name of: Mk.82 Bomb x1,Mk.82 Bomb x1,Mk.82 폭탄 x1
Mk.82 Bomb x1_description,Item description of: Mk.82 Bomb x1,Standard un-guided 500lb bomb.,표준형 무유도 500파운드 폭탄 입니다.
GBU-12 Laser Guided Bomb x2_fullName,Full equip name of: GBU-12 Laser Guided Bomb x2,GBU-12 Laser Guided Bomb x2,GBU-12 레이저 유도 폭탄 x2
GBU-12 Laser Guided Bomb x2_description,Item description of: GBU-12 Laser Guided Bomb x2,A rack of two 500lb laser guided bombs.,500 파운드 레이저 유도 폭탄 입니다. 2발 장착됩니다.
SB-1 Bomb x3_fullName,Full equip name of: SB-1 Bomb x3,SB-1 Bomb x3,SB-1 폭탄 x3
SB-1 Bomb x3_description,Item description of: SB-1 Bomb x3,Standard un-guided 500lb bombs.,표준형 무유도 500 파운드 폭탄 입니다.
2200L Fuel Drop Tank_fullName,Full equip name of: 2200L Fuel Drop Tank,2200L Fuel Drop Tank,2200L 외부 연료 탱크
2200L Fuel Drop Tank_description,Item description of: 2200L Fuel Drop Tank,A 2200 liter fuel tank.,2200L 연료 탱크 입니다.
MAD-4 Missile_fullName,Full equip name of: MAD-4 Missile,MAD-4 Missile,MAD-4 미사일
MAD-4 Missile_description,Item description of: MAD-4 Missile,Standard semi-active radar-guided missile built for the Mobile Air Defense launcher. It has a range of about 55km (30nm).,지상 이동식 대공망을 위해 설계된 반자동 레이더 유도 대공 미사일. 약 55키로(30nm)의 사거리를 가지고 있습니다.
PGM-27 x7_fullName,Full equip name of: PGM-27 x7,PGM-27 x7,PGM-27 x7
PGM-27 x7_description,Item description of: PGM-27 x7,"A rack of 2.75 inch rockets which have been fitted with a laser guidance package, turning them into precision guided munitions.
Requires continuous lock for guidance (not fire-and-forget).","2.75인치 로켓 랙으로 레이저 유도 패키지를 장착해 정밀 유도 탄약으로 개조됐습니다.
명중를 위해 대상을 보고있어야합니다(발사 후 망각이 아님)."
eqSublabel_LG,HUD sub-label of an equip,LG,레이저 유도
loadoutConfig_cannon,Cannon hardpoint label,Cannon,기관포
vehicleConfig_reloadAll,,Reload all,다시 불러오기
vehicleConfig_endMission,,End mission,임무 끝내기
vehicleConfig_returnToAircraft,,Return to aircraft,기체로 돌아가기
vehicleConfig_respawn,,Respawn,부활하기
AIM-9+ Sidewinder_fullName,Full equip name of: AIM-9+ Sidewinder,AIM-9+ Sidewinder,AIM-9+ 사이드 와인더
AIM-9+ Sidewinder_description,Item description of: AIM-9+ Sidewinder,Advanced short range heat seeking air to air missile.,개량된 단거리 열추적 공대공 미사일 입니다
Hydra-70 x7 Rocket Pod_fullName,Full equip name of: Hydra-70 x7 Rocket Pod,Hydra-70 x7 Rocket Pod,Hydra-70 x7 로켓 포드
Hydra-70 x7 Rocket Pod_description,Item description of: Hydra-70 x7 Rocket Pod,"A pod carrying a total of 7 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",7개의 고폭탄 로켓이 들어있는 발사관 입니다. 단발 사격 또는 속사 사격이 가능합니다.
AH-94_mfd_cam:B1,Label for an MFD button (short!).,PREV,이전
AH-94_mfd_cam:B3,Label for an MFD button (short!).,NEXT,다음
AH-94_mfd_home:B1,Label for an MFD button (short!).,NAV,지도
AH-94_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,네비게이션 지도
AH-94_mfd_home:B2,Label for an MFD button (short!).,OBJ,임무
AH-94_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,임무 목표
AH-94_mfd_home:B3,Label for an MFD button (short!).,CAM,카메라
AH-94_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,외부 카메라
AH-94_mfd_home:B4,Label for an MFD button (short!).,TADS,TADS
AH-94_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,표적획득지시장비
AH-94_mfd_home:L4,Label for an MFD button (short!).,GPS,GPS
AH-94_mfd_home:L4_tooltip,Tooltip for an MFD button.,GPS Targets,GPS 목표
AH-94_mfd_home:T5,Label for an MFD button (short!).,S-CAM,관전
AH-94_mfd_home:T5_tooltip,Tooltip for an MFD button.,Spectator Camera,관전 카메라
AH-94_mfd_home:R3,Label for an MFD button (short!).,GAME,게임
AH-94_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,게임 메뉴
AH-94_mfd_home:R5,Label for an MFD button (short!).,LOG,기록
AH-94_mfd_home:R5_tooltip,Tooltip for an MFD button.,Flight Log,비행 기록
AH-94_mfd_home:L2,Label for an MFD button (short!).,EQUIP,장비
AH-94_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,장착된 장비
AH-94_mfd_home:L3,Label for an MFD button (short!).,OPTION,옵션
AH-94_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,옵션
AH-94_mfd_home:B5,Label for an MFD button (short!).,COMMS,통신
AH-94_mfd_home:B5_tooltip,Tooltip for an MFD button.,Communications,통신
AH-94_mfd_home:T4,Label for an MFD button (short!).,RADAR,레이더
AH-94_mfd_home:T4_tooltip,Tooltip for an MFD button.,Radar,레이더
AH-94_mfd_home:R4,Label for an MFD button (short!).,DATA,데이터
AH-94_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Data,비행 데이터
AH-94_mfd_home:L5,Label for an MFD button (short!).,CMS,CMS
AH-94_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasure System,미사일 기만체 장치
AH-94_mfd_flightLog:R2_tooltip,Tooltip for an MFD button.,Scroll Up,위로 스크롤
AH-94_mfd_flightLog:R4_tooltip,Tooltip for an MFD button.,Scroll Down,아래로 스크롤
AH-94_mfd_flightLog:R5_tooltip,Tooltip for an MFD button.,Scroll Bottom,맨 아래로 스크롤
AH-94_mfd_flightLog:B3_tooltip,Tooltip for an MFD button.,Dump log to file.,비행 기록 파일로 저장
AH-94_mfd_mission:B1,Label for an MFD button (short!).,WPT,경유지
AH-94_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,경유지 설정
AH-94_mfd_mission:B3,Label for an MFD button (short!).,NEXT,다음
AH-94_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,다음 목표
AH-94_mfd_mission:B5,Label for an MFD button (short!).,PREV,이전
AH-94_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,이전 목표
AH-94_mfd_gpsTgts:T2,Label for an MFD button (short!).,MAP,지도
AH-94_mfd_gpsTgts:T2_tooltip,Tooltip for an MFD button.,Nav Map,네비게이션 지도
AH-94_mfd_gpsTgts:T3,Label for an MFD button (short!).,WPT,경유지
AH-94_mfd_gpsTgts:T3_tooltip,Tooltip for an MFD button.,Set Waypoints,경유지 설정
AH-94_mfd_gpsTgts:L2_tooltip,Tooltip for an MFD button.,Previous Group,이전 그룹
AH-94_mfd_gpsTgts:L3_tooltip,Tooltip for an MFD button.,Next Group,다음 그룹
AH-94_mfd_gpsTgts:B1_tooltip,Tooltip for an MFD button.,Create Group,그룹 만들기
AH-94_mfd_gpsTgts:B2_tooltip,Tooltip for an MFD button.,Delete Group,그룹 삭제
AH-94_mfd_gpsTgts:B4_tooltip,Tooltip for an MFD button.,Delete Target,목표 삭제
AH-94_mfd_gpsTgts:R3_tooltip,Tooltip for an MFD button.,Next Target,다음 목표
AH-94_mfd_gpsTgts:R2_tooltip,Tooltip for an MFD button.,Previous Target,이전 목표
AH-94_mfd_gpsTgts:R1_tooltip,Tooltip for an MFD button.,Toggle Path Mode,경로 모드 토글
AH-94_mfd_gpsTgts:R4_tooltip,Tooltip for an MFD button.,Move Up,위로
AH-94_mfd_gpsTgts:R5_tooltip,Tooltip for an MFD button.,MoveDown,아래로
AH-94_mfd_gpsTgts:B5,Label for an MFD button (short!).,SEND,전송
AH-94_mfd_gpsTgts:B5_tooltip,Tooltip for an MFD button.,Send Data,데이터 전송
AH-94_mfd_flyCam:B2,Label for an MFD button (short!).,START,켜기
AH-94_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,카메라 켜기
AH-94_mfd_flyCam:B3,Label for an MFD button (short!).,END,끄기
AH-94_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,카메라 끄기
AH-94_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,보기
AH-94_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,미리보기 토글
AH-94_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,랜덤
AH-94_mfd_flyCam:R1_tooltip,Tooltip for an MFD button.,Toggle Random,랜덤 토글
AH-94_mfd_flyCam:L3,Label for an MFD button (short!).,FOV:,시야각:
AH-94_mfd_flyCam:L3_tooltip,Tooltip for an MFD button.,Toggle FOV,시야각 토글
AH-94_mfd_flyCam:L4,Label for an MFD button (short!)., ,
AH-94_mfd_flyCam:L4_tooltip,Tooltip for an MFD button.,Toggle AutoFOV,자동 시야각 토글
AH-94_mfd_flyCam:L5,Label for an MFD button (short!)., ,
AH-94_mfd_flyCam:L5_tooltip,Tooltip for an MFD button.,Toggle Audio,오디오 토글
AH-94_mfd_flyCam:R2,Label for an MFD button (short!).,MODE,카메라
AH-94_mfd_flyCam:R2_tooltip,Tooltip for an MFD button.,Toggle Cam Mode,카메라 모드
AH-94_mfd_flyCam:R3,Label for an MFD button (short!).,LOOK,시야
AH-94_mfd_flyCam:R3_tooltip,Tooltip for an MFD button.,Toggle Look Mode,시야 모드 토글
AH-94_mfd_flyCam:R5,Label for an MFD button (short!)., ,
AH-94_mfd_flyCam:R5_tooltip,Tooltip for an MFD button.,Toggle Auto-Reset,자동 리셋 토글
AH-94_mfd_flyCam:B5,Label for an MFD button (short!)., ,
AH-94_mfd_flyCam:B5_tooltip,Tooltip for an MFD button.,Cycle Reset Time,순환 리셋 시간
AH-94_mfd_flyCam:T3,Label for an MFD button (short!).,SS,캡처
AH-94_mfd_flyCam:T3_tooltip,Tooltip for an MFD button.,4K Screenshot,4K 스크린샷
AH-94_mfd_antiRad:T5,Label for an MFD button (short!).,SOI,활성화
AH-94_mfd_antiRad:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,센서 활성화
AH-94_mfd_antiRad:R4,Label for an MFD button (short!).,HUD,HUD
AH-94_mfd_antiRad:R4_tooltip,Tooltip for an MFD button.,HUD Mode,HUD 모드
AH-94_mfd_antiRad:R5_tooltip,Tooltip for an MFD button.,Declutter,간소화
AH-94_mfd_gameMenu:B2,Label for an MFD button (short!).,RESTART,재시작
AH-94_mfd_gameMenu:B2_tooltip,Tooltip for an MFD button.,Restart Mission,임무 재시작
AH-94_mfd_gameMenu:B4,Label for an MFD button (short!).,EXIT,나가기
AH-94_mfd_gameMenu:B4_tooltip,Tooltip for an MFD button.,Return to Main,메인메뉴로 돌아가기
AH-94_mfd_gameMenu:B3,Label for an MFD button (short!).,EXIT,나가기
AH-94_mfd_gameMenu:B3_tooltip,Tooltip for an MFD button.,Return to Briefing Room,브리핑 룸으로 돌아가기
AH-94_mfd_gameMenu:R2,Label for an MFD button (short!).,CENTER,재정렬
AH-94_mfd_gameMenu:R2_tooltip,Tooltip for an MFD button.,Recenter Seat,좌석 위치 재정렬
AH-94_mfd_gameMenu:L3,Label for an MFD button (short!).,QSAVE,빠른저장
AH-94_mfd_gameMenu:L3_tooltip,Tooltip for an MFD button.,Quick Save Menu,빠른저장
AH-94_mfd_gameMenu:R4,Label for an MFD button (short!).,PLAYERS,유저
AH-94_mfd_gameMenu:R4_tooltip,Tooltip for an MFD button.,View Players,유저 보기
AH-94_mfd_gameMenu:R5,Label for an MFD button (short!).,NETWORK,네트워크
AH-94_mfd_gameMenu:R5_tooltip,Tooltip for an MFD button.,Network Analytics,네트워크 분석
AH-94_mfd_quicksave:L3_tooltip,Tooltip for an MFD button.,Save,저장
AH-94_mfd_quicksave:B4_tooltip,Tooltip for an MFD button.,Load,불러오기
AH-94_mfd_quicksave:T5,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AH-94_mfd_mpPlayers:B1,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_mpPlayers:B1_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AH-94_mfd_mpPlayers:T5,Label for an MFD button (short!).,MANAGE,관리
AH-94_mfd_mpPlayers:T5_tooltip,Tooltip for an MFD button.,Manage Players,유저 관리
AH-94_mfd_mpPlayers:R4_tooltip,Tooltip for an MFD button.,Scroll Up,위로 스크롤
AH-94_mfd_mpPlayers:R5_tooltip,Tooltip for an MFD button.,Scroll Down,아래로 스크롤
AH-94_mfd_netAnalytics:B1,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_netAnalytics:B1_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AH-94_mfd_hardpoints:T4_tooltip,Tooltip for an MFD button.,HP Gun,기관총
AH-94_mfd_hardpoints:L2_tooltip,Tooltip for an MFD button.,HP 1,하드포인트 1
AH-94_mfd_hardpoints:L1_tooltip,Tooltip for an MFD button.,HP 2,하드포인트 2
AH-94_mfd_hardpoints:R1_tooltip,Tooltip for an MFD button.,HP 3,하드포인트 3
AH-94_mfd_hardpoints:R2_tooltip,Tooltip for an MFD button.,HP 4,하드포인트 4
AH-94_mfd_hardpoints:L3_tooltip,Tooltip for an MFD button.,HP 5,하드포인트 5
AH-94_mfd_hardpoints:R3_tooltip,Tooltip for an MFD button.,HP 6,하드포인트 6
AH-94_mfd_hardpoints:B2,Label for an MFD button (short!).,MODE,모드
AH-94_mfd_hardpoints:B2_tooltip,Tooltip for an MFD button.,Toggle Mode,모드 토글
AH-94_mfd_hardpointInfoPage:R1,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_hardpointInfoPage:R1_tooltip,Tooltip for an MFD button.,Return to Equip,장비 장착으로 돌아가기
AH-94_mfd_hardpointInfoPage:B2_tooltip,Tooltip for an MFD button.,Toggle Arming,무장 설정 전환
AH-94_mfd_hardpointInfoPage:B4_tooltip,Tooltip for an MFD button.,Toggle Jettison,버리기 설정 전환
AH-94_mfd_cmsPage:L4_tooltip,Tooltip for an MFD button.,Release Mode,투하 모드
AH-94_mfd_cmsPage:B2,Label for an MFD button (short!).,-,-
AH-94_mfd_cmsPage:B2_tooltip,Tooltip for an MFD button.,- Release Rate,투하속도 -
AH-94_mfd_cmsPage:B4,Label for an MFD button (short!).,+,+
AH-94_mfd_cmsPage:B4_tooltip,Tooltip for an MFD button.,+ Release Rate,투하속도 +
AH-94_mfd_target:B3,Label for an MFD button (short!).,HEAD,시야
AH-94_mfd_target:B3_tooltip,Tooltip for an MFD button.,Head-track Mode,시야 추적 모드
AH-94_mfd_target:B2,Label for an MFD button (short!).,FWD,전방
AH-94_mfd_target:B2_tooltip,Tooltip for an MFD button.,Forward Mode,전방 주시 모드
AH-94_mfd_target:L1,Label for an MFD button (short!).,PWR,전원
AH-94_mfd_target:L1_tooltip,Tooltip for an MFD button.,Toggle TGP Power,타겟팅 포드 전원
AH-94_mfd_target:R1,Label for an MFD button (short!).,ZOOM+,확대+
AH-94_mfd_target:R1_tooltip,Tooltip for an MFD button.,Zoom In,확대
AH-94_mfd_target:R2,Label for an MFD button (short!).,ZOOM-,축소-
AH-94_mfd_target:R2_tooltip,Tooltip for an MFD button.,Zoom Out,축소
AH-94_mfd_target:R3,Label for an MFD button (short!).,GPS-S,GPS-S
AH-94_mfd_target:R3_tooltip,Tooltip for an MFD button.,GPS Send,GPS 좌표 송신
AH-94_mfd_target:R4,Label for an MFD button (short!).,GPS-A,GPS-A
AH-94_mfd_target:R4_tooltip,Tooltip for an MFD button.,GPS Acquire,GPS 좌표 획득
AH-94_mfd_target:L2,Label for an MFD button (short!).,MODE,모드
AH-94_mfd_target:L2_tooltip,Tooltip for an MFD button.,Cycle Modes,모드 순환
AH-94_mfd_target:L3,Label for an MFD button (short!).,SENS,센서
AH-94_mfd_target:L3_tooltip,Tooltip for an MFD button.,Sensor Mode,센서 모드
AH-94_mfd_target:T3,Label for an MFD button (short!).,WPT,경유지
AH-94_mfd_target:T3_tooltip,Tooltip for an MFD button.,To Waypoint,경유지
AH-94_mfd_target:T4,Label for an MFD button (short!).,SOI,활성화
AH-94_mfd_target:T4_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,센서 활성화
AH-94_mfd_target:B4,Label for an MFD button (short!).,HMD,HMD
AH-94_mfd_target:B4_tooltip,Tooltip for an MFD button.,Toggle HMD View,HMD 시야 토글
AH-94_mfd_target:L4,Label for an MFD button (short!).,LIM,경계
AH-94_mfd_target:L4_tooltip,Tooltip for an MFD button.,Toggle Limits Overlay,경계 표시 토글
AH-94_mfd_target:B1,Label for an MFD button (short!).,MARK,마커
AH-94_mfd_target:B1_tooltip,Tooltip for an MFD button.,Toggle Laser Marker,레이저 마커
AH-94_mfd_map:T2,Label for an MFD button (short!).,GPS,GPS
AH-94_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,GPS 목표
AH-94_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,확대
AH-94_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,축소
AH-94_mfd_map:R4,Label for an MFD button (short!).,UP,위
AH-94_mfd_map:R5,Label for an MFD button (short!).,DOWN,아래
AH-94_mfd_map:B4,Label for an MFD button (short!).,LEFT,왼쪽
AH-94_mfd_map:B5,Label for an MFD button (short!).,RIGHT,오른쪽
AH-94_mfd_map:R1,Label for an MFD button (short!).,RESET,리셋
AH-94_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,오프셋 리셋
AH-94_mfd_map:T3,Label for an MFD button (short!).,MODE,모드
AH-94_mfd_map:T3_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,회선 모드 토글
AH-94_mfd_map:T4,Label for an MFD button (short!).,SOI,활성화
AH-94_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,센서 활성화
AH-94_mfd_map:L4,Label for an MFD button (short!).,FUEL,연료
AH-94_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,연료 경유지로
AH-94_mfd_map:L3,Label for an MFD button (short!).,RTB,귀환
AH-94_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,기지 귀환 경유지로
AH-94_mfd_map:L2,Label for an MFD button (short!).,OBJ,임무
AH-94_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,목표 경유지로
AH-94_mfd_map:B1,Label for an MFD button (short!).,SET ALT,고도 설정
AH-94_mfd_map:B1_tooltip,Tooltip for an MFD button.,Set Target Alt,목표 고도 설정
AH-94_mfd_map:B2,Label for an MFD button (short!).,ALT+,고도+
AH-94_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,목표 고도 상승
AH-94_mfd_map:B3,Label for an MFD button (short!).,GPS-S,GPS-S
AH-94_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,GPS 목표 전송
AH-94_mfd_radar:R1,Label for an MFD button (short!).,R+,거리+
AH-94_mfd_radar:R1_tooltip,Tooltip for an MFD button.,Range +,거리+
AH-94_mfd_radar:R2,Label for an MFD button (short!).,R-,거리-
AH-94_mfd_radar:R2_tooltip,Tooltip for an MFD button.,Range -,거리-
AH-94_mfd_radar:B1,Label for an MFD button (short!).,PWR,전원
AH-94_mfd_radar:B1_tooltip,Tooltip for an MFD button.,Radar Power,레이더 전원
AH-94_mfd_radar:B2,Label for an MFD button (short!).,UNLCK,고정 해제
AH-94_mfd_radar:B2_tooltip,Tooltip for an MFD button.,Unlock,고정 해제
AH-94_mfd_radar:T4,Label for an MFD button (short!).,SOI,활성화
AH-94_mfd_radar:T4_tooltip,Tooltip for an MFD button.,Sensor of Interest,센서 활성화
AH-94_mfd_radar:B4,Label for an MFD button (short!).,SLAVE,제어
AH-94_mfd_radar:B4_tooltip,Tooltip for an MFD button.,Slave TADS,TADS 제어
AH-94_mfd_radar:L4,Label for an MFD button (short!).,GPS-S,GPS-S
AH-94_mfd_radar:L4_tooltip,Tooltip for an MFD button.,Send GPS,GPS 송신
AH-94_mfd_radar:R3,Label for an MFD button (short!).,+,+
AH-94_mfd_radar:R3_tooltip,Tooltip for an MFD button.,Elevation +,고도 +
AH-94_mfd_radar:R4,Label for an MFD button (short!).,-,-
AH-94_mfd_radar:R4_tooltip,Tooltip for an MFD button.,Elevation -,고도 -
AH-94_mfd_radar:L3,Label for an MFD button (short!).,MODE,모드
AH-94_mfd_radar:L3_tooltip,Tooltip for an MFD button.,AG/AA Mode,대지/ 대공 모드
AH-94_mfd_options:L2_tooltip,Tooltip for an MFD button.,Unit Options,단위설정
AH-94_mfd_options:R2_tooltip,Tooltip for an MFD button.,Toggle Joystick Mode,조이스틱 모드 토글
AH-94_mfd_options:L3_tooltip,Tooltip for an MFD button.,Fuel Settings,연료 설정
AH-94_mfd_options:L4_tooltip,Tooltip for an MFD button.,Altitude Warning Settings,고도 경보 설정
AH-94_mfd_options:R3_tooltip,Tooltip for an MFD button.,Joystick Sensitivity,조이스틱 민감도
AH-94_mfd_options:R4_tooltip,Tooltip for an MFD button.,Control Hints,조종 힌트
AH-94_mfd_options:R5_tooltip,Tooltip for an MFD button.,Bail When Spinning,회전 제어 불가시 자동 사출
AH-94_mfd_unitOptions:L2_tooltip,Tooltip for an MFD button.,Altitude Units,고도 단위
AH-94_mfd_unitOptions:L3_tooltip,Tooltip for an MFD button.,Distance Units,거리 단위
AH-94_mfd_unitOptions:L4_tooltip,Tooltip for an MFD button.,Speed Units,속도 단위
AH-94_mfd_unitOptions:T3,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_unitOptions:T3_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AH-94_mfd_fuelConfig:T3,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_fuelConfig:T3_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AH-94_mfd_fuelConfig:L3_tooltip,Tooltip for an MFD button.,Bingo Fuel +,연료 빙고 경보 +
AH-94_mfd_fuelConfig:L4_tooltip,Tooltip for an MFD button.,Bingo Fuel -,연료 빙고 경보 -
AH-94_mfd_altitudeSettings:T3,Label for an MFD button (short!).,BACK,뒤로
AH-94_mfd_altitudeSettings:T3_tooltip,Tooltip for an MFD button.,Back,뒤로가기
AH-94_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,최소 고도 +
AH-94_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,최소 고도 -
AH-94_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,최대 고도 +
